word,n,is_phrase_member,category
369,11,FALSE,
atlantic,11,FALSE,
b.b.q,11,FALSE,
bai,11,FALSE,
barbecue,11,FALSE,
ben,11,FALSE,names
blvd,11,FALSE,
bourbon,11,FALSE,
castle,11,FALSE,
cheong,11,FALSE,
cherry,11,FALSE,
cho,11,FALSE,
clay,11,TRUE,
dun,11,TRUE,
forest,11,FALSE,
fortuna,11,FALSE,
hawaiian,11,TRUE,
hope,11,FALSE,
hwa,11,FALSE,
joint,11,TRUE,
kosher,11,FALSE,
lei,11,FALSE,
life,11,FALSE,
lins,11,FALSE,
lobster,11,FALSE,
marco,11,TRUE,
miao,11,FALSE,
port,11,FALSE,
ren,11,FALSE,
rich,11,FALSE,
rolling,11,FALSE,
sampan,11,FALSE,symbols
secret,11,FALSE,
skewers,11,FALSE,
southern,11,FALSE,places
sticks,11,TRUE,
takee,11,TRUE,
tim,11,FALSE,
times,11,FALSE,
uyghur,11,TRUE,
weng,11,FALSE,
xuan,11,FALSE,
abacus,10,FALSE,
aloha,10,FALSE,
auntie,10,FALSE,names
bird,10,FALSE,
bites,10,FALSE,
brooklyn,10,FALSE,
buns,10,FALSE,
chang’s,10,FALSE,
chifa,10,FALSE,
crane,10,FALSE,
d'lite,10,TRUE,
dai,10,FALSE,
easy,10,FALSE,
farm,10,FALSE,
flame,10,FALSE,
foodie,10,FALSE,
gogo,10,FALSE,
hardee,10,FALSE,
hau,10,FALSE,
hee,10,FALSE,
hin,10,FALSE,
howard,10,FALSE,
jiangnan,10,FALSE,places
kow,10,FALSE,
lane,10,FALSE,
lights,10,TRUE,
lilly,10,FALSE,names
low,10,FALSE,
mart,10,FALSE,
maxim,10,FALSE,
mekong,10,FALSE,
northeast,10,FALSE,
plate,10,FALSE,
polo,10,TRUE,
prince,10,FALSE,
quality,10,FALSE,
sauerkraut,10,TRUE,
sino,10,FALSE,
snow,10,FALSE,
stirfry,10,FALSE,
sue,10,FALSE,
sung,10,FALSE,
willow,10,FALSE,
ygf,10,TRUE,
yumi,10,FALSE,
100,9,FALSE,
ace,9,FALSE,
art,9,FALSE,
banquet,9,FALSE,
bell,9,FALSE,
bian,9,FALSE,
braised,9,TRUE,
bruce,9,TRUE,
bubble,9,TRUE,
cai,9,FALSE,
creek,9,FALSE,
donuts,9,FALSE,
eagle,9,FALSE,
eating,9,FALSE,
fon,9,FALSE,
fuzhou,9,FALSE,places
head,9,FALSE,
hei,9,FALSE,
hoi,9,FALSE,
ice,9,FALSE,
jianbing,9,FALSE,
kan,9,FALSE,
ken,9,FALSE,
kum,9,FALSE,
lakes,9,FALSE,
lee’s,9,FALSE,
lings,9,FALSE,
lisa,9,FALSE,names
los,9,FALSE,
louis,9,FALSE,
lui,9,FALSE,
mui,9,FALSE,
music,9,FALSE,
olive,9,TRUE,
pak,9,FALSE,
pancake,9,FALSE,
pin,9,FALSE,
roast,9,FALSE,
seng,9,FALSE,
service,9,FALSE,
sheep,9,FALSE,
shiang,9,FALSE,
siu,9,FALSE,
speedy,9,TRUE,
stick,9,FALSE,
studio,9,FALSE,
taishan,9,FALSE,places
tak,9,FALSE,
tom,9,FALSE,
toy,9,FALSE,
uptown,9,FALSE,
wha,9,FALSE,
yami,9,FALSE,
yummi,9,FALSE,
zhao,9,FALSE,
amy,8,FALSE,names
ann,8,FALSE,names
anna,8,FALSE,names
avenue,8,FALSE,
bangkok,8,FALSE,
basil,8,FALSE,
bean,8,FALSE,
benny,8,FALSE,
boy,8,FALSE,
boys,8,FALSE,
chalet,8,TRUE,
chefs,8,FALSE,
chen’s,8,FALSE,
chiang,8,FALSE,
chicago,8,FALSE,
chongs,8,FALSE,
chuong,8,TRUE,
coal,8,TRUE,
coffee,8,FALSE,
crispy,8,FALSE,
donut,8,FALSE,
dorothy,8,TRUE,
enterprises,8,FALSE,
flavors,8,FALSE,
foliage,8,FALSE,
giant,8,FALSE,
goodie,8,FALSE,
guilin,8,FALSE,places
hana,8,FALSE,
harmony,8,FALSE,symbols
hidden,8,FALSE,
highland,8,FALSE,
hollywood,8,FALSE,
hungry,8,FALSE,
jan,8,FALSE,names
jane,8,FALSE,names
jie,8,FALSE,
kabob,8,FALSE,
kay,8,FALSE,
key,8,FALSE,
korean,8,FALSE,
kwik,8,FALSE,
lady,8,FALSE,
legendary,8,FALSE,symbols
leung,8,FALSE,names
lincoln,8,FALSE,
loong,8,FALSE,
mid,8,FALSE,
mifen,8,FALSE,
mimi,8,FALSE,names
mine,8,TRUE,
monkey,8,FALSE,
nai,8,TRUE,
nest,8,FALSE,
night,8,FALSE,
nihao,8,FALSE,
noble,8,FALSE,symbols
peeking,8,FALSE,
philippe,8,FALSE,
pink,8,FALSE,
pond,8,FALSE,
porridge,8,FALSE,
queens,8,FALSE,
ray,8,FALSE,names
sai,8,FALSE,
shack,8,FALSE,
shine,8,FALSE,
skillman,8,TRUE,
space,8,TRUE,
springs,8,FALSE,
stew,8,FALSE,
suki,8,FALSE,
summer,8,FALSE,
tangs,8,FALSE,
teppanyaki,8,FALSE,
tipsy,8,TRUE,
tofu,8,FALSE,
togo,8,FALSE,
university,8,FALSE,
walk,8,FALSE,
wasabi,8,FALSE,
washington,8,FALSE,
westlake,8,FALSE,
wun,8,FALSE,
zeng,8,FALSE,
aroma,7,FALSE,
bee,7,FALSE,
bill,7,FALSE,
black,7,FALSE,
border,7,FALSE,
bund,7,FALSE,places|symbols
chengs,7,FALSE,
chine,7,FALSE,
chongwah,7,FALSE,
chows,7,FALSE,
circle,7,FALSE,
classic,7,FALSE,
confucius,7,FALSE,symbols
congee,7,FALSE,
cup,7,FALSE,
delite,7,FALSE,
depot,7,FALSE,
dian,7,FALSE,
door,7,FALSE,
dot,7,FALSE,
dou,7,FALSE,
dough,7,FALSE,
edison,7,FALSE,
elite,7,FALSE,symbols
emperors,7,FALSE,
excellent,7,FALSE,
foon,7,FALSE,
gin,7,FALSE,
glatt,7,FALSE,
grandview,7,FALSE,
grocery,7,FALSE,
hainan,7,FALSE,
hakka,7,FALSE,
hall,7,FALSE,
haven,7,FALSE,
heung,7,FALSE,
hongs,7,FALSE,
hudson,7,FALSE,
japan,7,FALSE,
jay,7,FALSE,
jenny,7,FALSE,names
jiao,7,FALSE,
jim,7,FALSE,
kar,7,FALSE,
king’s,7,FALSE,
kok,7,FALSE,
kwai,7,FALSE,
kwok,7,FALSE,names
lakeside,7,FALSE,
lams,7,FALSE,
laoma,7,FALSE,
legacy,7,FALSE,
lemon,7,FALSE,
lover,7,FALSE,
lucy,7,FALSE,names
luen,7,FALSE,
lychee,7,FALSE,
meng,7,FALSE,
merry,7,FALSE,
mike,7,FALSE,names
nanking,7,FALSE,places
neo,7,FALSE,
news,7,FALSE,
pandas,7,FALSE,
peninsula,7,FALSE,
pings,7,FALSE,
pizza,7,FALSE,
pork,7,FALSE,
potato,7,FALSE,
pow,7,FALSE,
recipe,7,FALSE,
rooster,7,FALSE,
shangrila,7,FALSE,
shuttle,7,FALSE,
spoon,7,FALSE,
stand,7,FALSE,
subs,7,FALSE,
sugar,7,FALSE,
teahouse,7,FALSE,
tou,7,FALSE,
tray,7,FALSE,
tsingtao,7,FALSE,places|symbols
union,7,FALSE,
van,7,FALSE,
vee,7,FALSE,
vegas,7,FALSE,
vip,7,FALSE,symbols
western,7,FALSE,
wheel,7,FALSE,
wheels,7,FALSE,
wokery,7,FALSE,
yau,7,FALSE,
yellow,7,FALSE,
yums,7,FALSE,
zou,7,FALSE,
ancient,6,FALSE,
astoria,6,FALSE,
belly,6,FALSE,
blessings,6,FALSE,
bok,6,FALSE,
bowls,6,FALSE,
brown,6,FALSE,
burger,6,FALSE,
camp,6,FALSE,
chaun,6,FALSE,
chelsea,6,FALSE,
chick,6,FALSE,
chilli,6,FALSE,
chinos,6,FALSE,
chins,6,FALSE,
chubby,6,FALSE,
claypot,6,FALSE,
coco,6,FALSE,
cool,6,FALSE,
cuisines,6,FALSE,
culture,6,FALSE,
delicacy,6,FALSE,
drum,6,FALSE,
duo,6,FALSE,
eden,6,FALSE,
embassy,6,FALSE,
field,6,FALSE,
friendly,6,FALSE,
furama,6,FALSE,
garlic,6,FALSE,
hand,6,FALSE,
harbour,6,FALSE,
hey,6,FALSE,
hibiscus,6,FALSE,
hoe,6,FALSE,
hongkong,6,FALSE,
hsin,6,FALSE,
human,6,FALSE,
hunam,6,FALSE,
ing,6,FALSE,
ivy,6,FALSE,
jack,6,FALSE,
jani,6,FALSE,
jean,6,FALSE,names
joys,6,FALSE,
karaoke,6,FALSE,
koo,6,FALSE,
kun,6,FALSE,
lieu,6,FALSE,
lil,6,FALSE,
lili,6,FALSE,
lin’s,6,FALSE,
liuyishou,6,FALSE,
lot,6,FALSE,
louisiana,6,FALSE,
lun,6,FALSE,
macau,6,FALSE,places
memories,6,FALSE,
mia,6,FALSE,
miami,6,FALSE,
michael,6,FALSE,names
mon,6,FALSE,
moo,6,FALSE,
neighbor,6,FALSE,
newport,6,FALSE,
paul,6,FALSE,names
peace,6,FALSE,
pekin,6,FALSE,
phat,6,FALSE,
pig,6,FALSE,
pleasant,6,FALSE,
power,6,FALSE,
republic,6,FALSE,
ruyi,6,FALSE,
sauce,6,FALSE,
sha,6,FALSE,
shandong,6,FALSE,places
shogun,6,FALSE,
shore,6,FALSE,
simon,6,FALSE,names
sin,6,FALSE,
soy,6,FALSE,
sui,6,FALSE,
sumo,6,FALSE,
suns,6,FALSE,
tampa,6,FALSE,
teng,6,FALSE,
uno,6,FALSE,
volcano,6,FALSE,
water,6,FALSE,
winds,6,FALSE,
yangs,6,FALSE,
yat,6,FALSE,
yoan,6,FALSE,
zai,6,FALSE,
1.35,5,FALSE,
2nd,5,FALSE,
aaa,5,FALSE,
aberdeen,5,FALSE,
alice,5,FALSE,names
arts,5,FALSE,
asiana,5,FALSE,
asuka,5,FALSE,
ball,5,FALSE,
bally,5,FALSE,
ban,5,FALSE,
baobao,5,FALSE,
bath,5,FALSE,
beer,5,FALSE,
boca,5,FALSE,
buddy,5,FALSE,
bull,5,FALSE,
canteen,5,FALSE,
chamber,5,FALSE,
changsha,5,FALSE,
char,5,FALSE,
cheap,5,FALSE,
cheers,5,FALSE,
chia,5,FALSE,
